Spiel #;Liga;m/f;Modus;Gruppe;Rnd.;Datum;Wochentag;Spieltag;Anspielzeit;Heim #;Heim;Gast #;Gast;Halle #;Halle;Hallenort;1. SR;2. SR;1. LR;2. LR
133677;4L;f;Hin-/RÅckrunde;Gruppe C;10;06.01.2018 18:00;Samstag;06.01.2018;18:00;2865;Volley Luzern 5;2958;VBC Malters 2;87;Bahnhofhalle;Luzern;;;;
137494;U23 1L;m;3fach-Runde;Gruppe A;9;07.01.2018 12:00;Sonntag;07.01.2018;12:00;5118;VBC Malters 1;5020;Volley Smash 05 Laufenb.-K.;1961;BÅndtmÑttli;Malters;;;;
133680;4L;f;Hin-/RÅckrunde;Gruppe C;11;11.01.2018 20:30;Donnerstag;11.01.2018;20:30;2958;VBC Malters 2;5714;Volley Region Entlebuch 3;1961;BÅndtmÑttli;Malters;;;;
133819;5L;f;Hin-/RÅckrunde;Gruppe B;11;11.01.2018 20:30;Donnerstag;11.01.2018;20:30;6002;VBC Malters 3;3823;Volley Region Entlebuch 4;1961;BÅndtmÑttli;Malters;;;;
134208;U23 1.Liga;f;Hin-/RÅckrunde;Gruppe A;11;13.01.2018 13:00;Samstag;13.01.2018;13:00;4027;VBC Malters 1;3850;VB Neuenkirch  1;1961;BÅndtmÑttli;Malters;;;;
137580;U23 2L;m;2- und 3fach-Runde;Gruppe B;9;13.01.2018 13:30;Samstag;13.01.2018;13:30;5987;VBC Buochs;6588;VBC Malters 2;34;Breitli;Buochs;;;;
134116;4L;m;Hin-/RÅckrunde;Gruppe A;11;13.01.2018 15:00;Samstag;13.01.2018;15:00;2957;VBC Malters 3;6004;Volley Region Entlebuch 2;1961;BÅndtmÑttli;Malters;;;;
134480;U23 4.Liga;f;Hin-/RÅckrunde;Gruppe B;11;13.01.2018 17:00;Samstag;13.01.2018;17:00;4028;VBC Malters 2;6530;VB Fides Ruswil 2;1961;BÅndtmÑttli;Malters;;;;
133177;NLB;m;Qualifikationsrunde;Ost;13;13.01.2018 18:00;Samstag;13.01.2018;18:00;2476;VBC Malters ;542;SV Olten;1961;BÅndtmÑttli;Malters;;;;
134195;U23 1.Liga;f;Hin-/RÅckrunde;Gruppe A;7;14.01.2018 13:00;Sonntag;14.01.2018;13:00;1533;VBC Steinhausen 1;4027;VBC Malters 1;135;Sunnegrund;Steinhausen;;;;
133385;2L;f;Hin-/RÅckrunde;Gruppe A;11;14.01.2018 15:00;Sonntag;14.01.2018;15:00;1888;VBC Malters 1;2475;Volley Region Entlebuch 1;1961;BÅndtmÑttli;Malters;;;;
133955;2L;m;Hin-/RÅckrunde;Gruppe A;11;14.01.2018 16:00;Sonntag;14.01.2018;16:00;2956;VBC Malters 2;2474;Volley Region Entlebuch 1;546;Oberei;Malters;;;;
133390;2L;f;Hin-/RÅckrunde;Gruppe A;12;17.01.2018 20:30;Mittwoch;17.01.2018;20:30;128;VBC Ebikon 1;1888;VBC Malters 1;782;Turnhalle Feldmatt;Ebikon;;;;
134211;U23 1.Liga;f;Hin-/RÅckrunde;Gruppe A;12;19.01.2018 20:00;Freitag;19.01.2018;20:00;6006;Volley Region Entlebuch 1;4027;VBC Malters 1;570;SH Farbschachen;Hasle;;;;
137497;U23 1L;m;3fach-Runde;Gruppe A;10;20.01.2018 12:00;Samstag;20.01.2018;12:00;5117;Volley Emmen-Nord;5118;VBC Malters 1;531;Gerbematt;Rothenburg;;;;
134453;U23 4.Liga;f;Hin-/RÅckrunde;Gruppe A;10;20.01.2018 13:00;Samstag;20.01.2018;13:00;6526;Volley HÅnenberg;4722;VBC Malters 3;1657;Kemmatten;HÅnenberg See;;;;
137594;U23 2L;m;2- und 3fach-Runde;Gruppe B;13;20.01.2018 15:30;Samstag;20.01.2018;15:30;6620;VBC Ebikon;6588;VBC Malters 2;782;Turnhalle Feldmatt;Ebikon;;;;
133960;2L;m;Hin-/RÅckrunde;Gruppe A;12;20.01.2018 16:00;Samstag;20.01.2018;16:00;756;VBC BÅrglen Fortuna 1;2956;VBC Malters 2;36;Sporthalle;BÅrglen;;;;
134482;U23 4.Liga;f;Hin-/RÅckrunde;Gruppe B;12;20.01.2018 18:00;Samstag;20.01.2018;18:00;3957;VBC Ettiswil;4028;VBC Malters 2;1174;BÅelacherhalle;Ettiswil;;;;
133822;5L;f;Hin-/RÅckrunde;Gruppe B;13;27.01.2018 15:00;Samstag;27.01.2018;15:00;6002;VBC Malters 3;3814;VBC Kerns 3;1961;BÅndtmÑttli;Malters;;;;
133395;2L;f;Hin-/RÅckrunde;Gruppe A;13;27.01.2018 16:00;Samstag;27.01.2018;16:00;1888;VBC Malters 1;611;VBC Kerns 1;1961;BÅndtmÑttli;Malters;;;;
133687;4L;f;Hin-/RÅckrunde;Gruppe C;13;27.01.2018 17:00;Samstag;27.01.2018;17:00;2958;VBC Malters 2;3798;SG Willisau/Hergiswil;1961;BÅndtmÑttli;Malters;;;;
133965;2L;m;Hin-/RÅckrunde;Gruppe A;13;27.01.2018 18:30;Samstag;27.01.2018;18:30;2956;VBC Malters 2;520;TSV Steinen H1;1961;BÅndtmÑttli;Malters;;;;
