Spiel #;Liga;m/f;Modus;Gruppe;Rnd.;Datum;Wochentag;Spieltag;Anspielzeit;Heim #;Heim;Gast #;Gast;Halle #;Halle;Hallenort;1. SR;2. SR;1. LR;2. LR
133365;2L;f;Hin-/RÅckrunde;Gruppe A;7;14.11.2017 20:30;Dienstag;14.11.2017;20:30;1528;VBC Steinhausen 2;1888;VBC Malters 1;135;Sunnegrund;Steinhausen;;;;
133928;2L;m;Hin-/RÅckrunde;Gruppe A;5;16.11.2017 20:30;Donnerstag;16.11.2017;20:30;2956;VBC Malters 2;5716;FC Luzern;1961;BÅndtmÑttli;Malters;;;;
134113;4L;m;Hin-/RÅckrunde;Gruppe A;9;17.11.2017 20:30;Freitag;17.11.2017;20:30;2884;Hochdorf Audacia ;2957;VBC Malters 3;1204;Sporthalle Baldegg;Baldegg;;;;
134472;U23 4.Liga;f;Hin-/RÅckrunde;Gruppe B;5;18.11.2017 12:00;Samstag;18.11.2017;12:00;4028;VBC Malters 2;6007;Volley-Team Wolhusen;1961;BÅndtmÑttli;Malters;;;;
137579;U23 2L;m;2- und 3fach-Runde;Gruppe B;8;18.11.2017 12:00;Samstag;18.11.2017;12:00;6588;VBC Malters 2;6620;VBC Ebikon;1961;BÅndtmÑttli;Malters;;;;
134446;U23 4.Liga;f;Hin-/RÅckrunde;Gruppe A;5;18.11.2017 14:00;Samstag;18.11.2017;14:00;4722;VBC Malters 3;3688;Volley KTV Muotathal 2;1961;BÅndtmÑttli;Malters;;;;
133154;NLB;m;Qualifikationsrunde;Ost;7;18.11.2017 15:00;Samstag;18.11.2017;15:00;2476;VBC Malters ;22;VBC zÅri unterland;1961;BÅndtmÑttli;Malters;;;;
133358;2L;f;Hin-/RÅckrunde;Gruppe A;5;18.11.2017 16:00;Samstag;18.11.2017;16:00;1888;VBC Malters 1;4124;FC Luzern 1;1961;BÅndtmÑttli;Malters;;;;
133664;4L;f;Hin-/RÅckrunde;Gruppe C;5;18.11.2017 18:00;Samstag;18.11.2017;18:00;2958;VBC Malters 2;6001;FC Luzern 2;1961;BÅndtmÑttli;Malters;;;;
134093;4L;m;Hin-/RÅckrunde;Gruppe A;1;24.11.2017 20:45;Freitag;24.11.2017;20:45;2957;VBC Malters 3;1568;KTV Luthern;1156;Muoshof 1;Malters;;;;
134473;U23 4.Liga;f;Hin-/RÅckrunde;Gruppe B;6;25.11.2017 12:00;Samstag;25.11.2017;12:00;4028;VBC Malters 2;558;Svkt Buttisholz 3;1961;BÅndtmÑttli;Malters;;;;
134192;U23 1.Liga;f;Hin-/RÅckrunde;Gruppe A;6;25.11.2017 13:00;Samstag;25.11.2017;13:00;4027;VBC Malters 1;3851;Raiffeisen Volleya Obwalden   1;1961;BÅndtmÑttli;Malters;;;;
133930;2L;m;Hin-/RÅckrunde;Gruppe A;6;25.11.2017 14:00;Samstag;25.11.2017;14:00;2956;VBC Malters 2;3797;Volley Emmen-Nord 2;1961;BÅndtmÑttli;Malters;;;;
133811;5L;f;Hin-/RÅckrunde;Gruppe B;6;25.11.2017 15:00;Samstag;25.11.2017;15:00;6002;VBC Malters 3;557;Svkt Buttisholz 1;1961;BÅndtmÑttli;Malters;;;;
137570;U23 2L;m;2- und 3fach-Runde;Gruppe B;5;25.11.2017 15:00;Samstag;25.11.2017;15:00;6589;SG Obwalden;6588;VBC Malters 2;2046;Vereinshalle;Sarnen;;;;
134104;4L;m;Hin-/RÅckrunde;Gruppe A;6;25.11.2017 16:00;Samstag;25.11.2017;16:00;2957;VBC Malters 3;4983;Littau VBC;1961;BÅndtmÑttli;Malters;;;;
133360;2L;f;Hin-/RÅckrunde;Gruppe A;6;25.11.2017 17:00;Samstag;25.11.2017;17:00;1888;VBC Malters 1;3796;Raiffeisen Volleya Obwalden  2;1961;BÅndtmÑttli;Malters;;;;
